gene	stage0	stage1	stage2	stage3
NTM	0.21807268	0.2019202	0.09479613	0.049217865
GPC5	0.1081315	0.14041619	0.06612055	0.1558408
CFAP299	0.099541694	0.22655463	0.2097536	0.21045056
SCGB1A1	0.2379325	0.5970196	0.4664153	0.40516472
BPIFB1	0.036676485	0.20398997	0.48158544	0.44025347
CPA6	0.010991937	0.09163837	0.054427367	0.085717276
NRG1	0.14120145	0.15746371	0.12475603	0.075481065
TMEM132D	0.045420088	0.09867303	0.04572191	0.17795399
MACROD2	0.2522486	0.21264346	0.1803121	0.20335105
PKN2-AS1	0.12761925	0.2175791	0.12249587	0.05367266
AC004470.2	0.06545844	0.2049724	0.11724174	0.12176814
AGBL4	0.1151079	0.12411084	0.15317667	0.18858315
TNC	0.049457088	0.17992263	0.12882887	0.09799226
LRRK2	0.21243577	0.183295	0.1143637	0.20385139
PTPRT	0.05422485	0.17279822	0.10041561	0.17401029
PCSK2	0.084264755	0.0666323	0.0929748	0.13803416
EREG	0.074064456	0.08361354	0.041109998	0.017115064
DNAH12	0.08579822	0.20860572	0.15898691	0.2300269
AGBL1	0.1667601	0.17785421	0.10853284	0.09055745
NCKAP5	0.2696891	0.43903795	0.35075065	0.34673384
NELL1	0.071480304	0.17936817	0.041236147	0.050031137
CCDC141	0.12182814	0.18665133	0.04254066	0.07403055
SCGB3A1	0.25028807	0.5665674	0.5841316	0.3795622
MGC27382	0.07496649	0.13151851	0.03389386	0.062321793
SFTPC	0.26646444	0.15643217	0.20863676	0.2920533
RIMS1	0.06151754	0.11813701	0.21209492	0.16999646
TP63	0.12580228	0.22962864	0.18102367	0.12184295
ELN	0.19590701	0.28006387	0.19311453	0.2999033
RP1	0.12932347	0.24771465	0.24160726	0.22809803
TMEM163	0.13581605	0.17206956	0.04184829	0.0666457
ZNF385B	0.197667	0.18300042	0.10612702	0.10697513
AC112770.1	0.0030485918	0.11125035	0.067609824	0.06855037
KCNQ5	0.07846205	0.10365716	0.17071655	0.06477077
DLGAP1	0.07139922	0.17292917	0.1059635	0.038770586
SERPINE1	0.8398191	0.8093284	0.8705463	1.4010397
CDH2	0.031288635	0.110952	0.10100523	0.10275128
DNAH9	0.06275067	0.07631815	0.13383035	0.09103909
SCEL	0.2249992	0.26561505	0.07579974	0.050489273
LRRIQ1	0.12356781	0.15558638	0.28275132	0.25137758
NEK10	0.10303483	0.10597992	0.18166772	0.1640701
PLD5	0.010301882	0.07132704	0.098376855	0.04326792
HPSE2	0.058166176	0.28972408	0.1720633	0.24419929
FRMD5	0.044202287	0.18389452	0.071140535	0.09357552
AC046195.1	0.06419755	0.19029476	0.05582211	0.0569628
TMEM232	0.14321347	0.18884908	0.17510985	0.1432751
CCL21	0.06726144	0.26802182	0.050359294	0.27111202
IGHD	0.18101461	0.22037184	0.35941845	0.18499768
