gene	stage0	stage1	stage2	stage3
NTM	0.138457	0.20627655	0.16319701	0.09572637
GPC5	0.11722164	0.096153356	0.15297784	0.16102192
CFAP299	0.22483489	0.34583807	0.27319258	0.1912671
SCGB1A1	0.20867138	0.4441712	0.26214316	0.4399147
BPIFB1	0.1522954	0.48349872	0.3728083	0.34398377
CPA6	0.08292581	0.22099426	0.08175304	0.27288413
NRG1	0.232014	0.22643147	0.23745431	0.31322935
TMEM132D	0.072030984	0.08362661	0.15909205	0.31588793
MACROD2	0.1312476	0.13368474	0.16505978	0.16084379
PKN2-AS1	0.21630917	0.42709526	0.4252925	0.15387467
AC004470.2	0.12651521	0.24424145	0.35807762	0.17017287
AGBL4	0.19165885	0.29161945	0.22676773	0.16383816
TNC	0.1638797	0.18304074	0.29882327	0.2864352
LRRK2	0.070606135	0.12914653	0.10939292	0.18611136
PTPRT	0.17919539	0.25202158	0.115407676	0.16650292
PCSK2	0.28232446	0.12488161	0.16027236	0.115286574
EREG	0.11346209	0.10423514	0.114051506	0.26701382
DNAH12	0.23233032	0.29692495	0.2732239	0.21144573
AGBL1	0.27891606	0.20970005	0.36862555	0.20890331
NCKAP5	0.34472412	0.2820119	0.27135468	0.355489
NELL1	0.08700774	0.16898912	0.24906313	0.12903938
CCDC141	0.17771439	0.12630366	0.1642593	0.13598794
SCGB3A1	0.22413279	0.36928642	0.35509312	0.38795245
MGC27382	0.22395015	0.24916539	0.2947971	0.16563809
SFTPC	0.13053437	0.08393643	0.22928111	0.20820102
RIMS1	0.21451817	0.26885444	0.22103949	0.15126699
TP63	0.22249734	0.3495478	0.51985556	0.41278052
ELN	0.20640177	0.22794127	0.25169212	0.45026433
RP1	0.22069165	0.28254664	0.18946998	0.19370273
TMEM163	0.21935153	0.18585858	0.20038517	0.19176951
ZNF385B	0.10122875	0.14758462	0.1350088	0.14044535
AC112770.1	0.032684293	0.08380868	0.032138772	0.121159695
KCNQ5	0.19902	0.14536962	0.2959231	0.3800438
