gene	stage0	stage1	stage2	stage3
NTM	0.123233974	0.17742854	0.12791114	0.12193488
GPC5	0.13721918	0.18507183	0.065736294	0.16611633
CFAP299	0.14355841	0.22555286	0.10814352	0.24341771
SCGB1A1	0.21690485	0.4662894	0.3084978	0.41564044
BPIFB1	0.19826128	0.30440277	0.40107554	0.5061147
CPA6	0.038517267	0.185535	0.11614045	0.23862866
NRG1	0.18185346	0.1559588	0.25901482	0.254879
TMEM132D	0.064696684	0.16262472	0.16836001	0.22858992
MACROD2	0.2416287	0.30994704	0.2309527	0.23196054
PKN2-AS1	0.22954758	0.24041905	0.24660414	0.21893075
AC004470.2	0.094001204	0.30965632	0.08190389	0.17822132
AGBL4	0.16487291	0.2527377	0.16549626	0.24033055
TNC	0.1217593	0.19408293	0.2941549	0.32344833
LRRK2	0.2147708	0.2955836	0.17362304	0.25490034
PTPRT	0.13320419	0.15466942	0.0902169	0.19578552
PCSK2	0.11967327	0.12229213	0.08399909	0.10101264
EREG	0.037242703	0.1608751	0.095496565	0.08266992
DNAH12	0.120693766	0.22010437	0.18495075	0.28102034
AGBL1	0.2095573	0.103534415	0.20299637	0.105315626
NCKAP5	0.23366466	0.21998464	0.16115895	0.17058288
NELL1	0.08303189	0.0846994	0.0026023386	0.13593674
CCDC141	0.18142429	0.14786011	0.12707925	0.100258276
SCGB3A1	0.15827914	0.47048274	0.1869155	0.36957562
MGC27382	0.14129391	0.11261596	0.11354414	0.106697395
SFTPC	0.22487463	0.18853948	0.18231347	0.19399403
RIMS1	0.3162634	0.24229927	0.15609722	0.25004345
TP63	0.07152949	0.16637732	0.3159237	0.29446948
ELN	0.20932125	0.32426846	0.21816817	0.31515336
RP1	0.17410912	0.2741122	0.1383189	0.28727606
TMEM163	0.15085329	0.23225927	0.104576804	0.15875442
ZNF385B	0.1758751	0.16414241	0.12346023	0.14118077
AC112770.1	0.11519759	0.16869119	0.14319961	0.14062993
KCNQ5	0.11429775	0.20386346	0.109004796	0.40915722
DLGAP1	0.1253359	0.17559242	0.17678012	0.11340131
SERPINE1	0.19725397	0.44839713	0.25202808	0.39453244
CDH2	0.020361425	0.03414402	0.06335018	0.27491614
DNAH9	0.11656298	0.19951674	0.11613198	0.23185436
SCEL	0.23806962	0.22237407	0.13609032	0.12988248
LRRIQ1	0.1305591	0.17526372	0.20884483	0.24341787
NEK10	0.13808279	0.20401132	0.2037121	0.2550496
PLD5	0.07107823	0.09959437	0.16587734	0.17413175
HPSE2	0.068302564	0.24116659	0.21752426	0.34036753
FRMD5	0.08920855	0.21647787	0.07869068	0.26967043
AC046195.1	0.1336207	0.05234041	0.12850323	0.07442915
TMEM232	0.16520254	0.17476025	0.22440116	0.25880903
CCL21	0.06881114	0.14316118	0.06587609	0.11755574
IGHD	0.1257302	0.14702286	0.25398216	0.14857653
PRB4	0.08135244	0.2550195	0.5006294	0.08030202
ACOXL	0.22362179	0.116144285	0.13110857	0.103406176
DKK2	0.18820699	0.1677589	0.19052558	0.18438351
LRRTM4	0.10095873	0.09701941	0.11169819	0.097608745
SFTPB	0.12705179	0.113131605	0.19486661	0.16889855
KCNIP4	0.32097855	0.25406405	0.28565863	0.38784385
CEMIP	0.17552792	0.27039674	0.10962066	0.15990826
LINC02388	0.20685492	0.1984237	0.13371314	0.4009565
P3H2	0.15766011	0.16269201	0.10285393	0.13386884
NEAT1	0.2685694	0.19009618	0.23586418	0.1610643
PGC	0.1038524	0.17220637	0.18139368	0.18339865
SYT14	0.04697832	0.20263925	0.08772307	0.17605704
ZPLD1	0.05549397	0.022331087	0.08107999	0.09385212
CMAHP	0.32043535	0.44600722	0.3501078	0.34234226
LINC01811	0.15533516	0.08854787	0.11701605	0.030644547
ITGA2	0.25162417	0.3150307	0.36597717	0.41486675
COL8A1	0.2044053	0.2879614	0.30457795	0.24674234
TTN	0.23559082	0.2066984	0.12427841	0.15117027
SPAG16	0.19158715	0.23386921	0.1752446	0.25772598
CDHR3	0.112974666	0.20531668	0.16734193	0.21877003
CPM	0.18550512	0.21804479	0.16256621	0.19780558
PACRG	0.1485259	0.24301383	0.114292175	0.23496984
LYZ	0.1594376	0.1960617	0.4637589	0.19023782
ANK3	0.09933629	0.12277858	0.1275495	0.09035605
ABCA3	0.22129257	0.116180204	0.1270031	0.10546002
ADAMTSL1	0.4047459	0.38919	0.3735907	0.5692029
DCDC1	0.1474172	0.1987106	0.17477797	0.2534025
CDC20B	0.069834135	0.061656907	0.08689576	0.11962871
KIF26B	0.102444775	0.20740739	0.21088538	0.37567726
LINC02889	0.1375183	0.22857063	0.12389266	0.20532009
GDF15	0.054905616	0.09897573	0.15315281	0.13420564
MEGF9	0.20814423	0.1392313	0.15079159	0.17275009
ACTG2	0.018273136	0.24788545	0.19592802	0.21489285
KHDRBS2	0.23143357	0.1914504	0.09732787	0.194804
PRB3	0.026432602	0.1337032	0.51606673	0.038866967
SFTPA1	0.26661205	0.3481608	0.16409633	0.18685618
MIR924HG	0.117213145	0.11325581	0.1442078	0.19576685
AC007368.1	0.03271941	0.042227086	0.12622122	0.18789484
PDE4D	0.23956062	0.16459575	0.2444016	0.17141926
LINC01705	0.042742092	0.1738468	0.09368158	0.09184161
CFAP54	0.14997913	0.21184744	0.22813718	0.29377353
TIMP3	0.729373	0.71403486	0.6852436	0.621336
DNAH3	0.09704886	0.07432087	0.1545815	0.18469477
SNX25	0.23627941	0.20111994	0.109613895	0.20357737
ROBO2	0.17503728	0.21893379	0.2184693	0.24983346
SLC6A14	0.17405587	0.18070577	0.12701043	0.17322679
VSIG1	0.010966788	0.015269872	0.065517485	0.04114105
ALOX15B	0.09187289	0.035134055	0.04324092	0.064950414
KAZN	0.18604955	0.2606889	0.16911803	0.2898323
STAP1	0.078502186	0.13845022	0.17263673	0.14665149
KCND2	0.105699174	0.16914506	0.14232951	0.25543627
LINC00578	0.086617604	0.31528378	0.17018305	0.34905416
CR2	0.039079826	0.020594766	0.054125354	0.021006778
AC027288.3	0.18462503	0.08835284	0.13527443	0.08651915
ITGB8	0.09361159	0.36965415	0.11130646	0.33520234
SGPP2	0.085747786	0.13450328	0.023988677	0.16254719
