gene	stage0	stage1	stage2	stage3
NTM	0.17503536	0.22585373	0.13149837	0.10724844
GPC5	0.11989982	0.21646695	0.05576538	0.1957454
CFAP299	0.09517601	0.23675787	0.17227025	0.2017117
SCGB1A1	0.15831076	0.4898925	0.6173419	0.39707595
BPIFB1	0.051256314	0.24313629	0.38315654	0.49250707
CPA6	0.067922354	0.123662226	0.074863024	0.11862175
NRG1	0.10029756	0.12990373	0.07702794	0.12831613
TMEM132D	0.0493377	0.032667633	0.09248307	0.060238507
MACROD2	0.25200218	0.2265831	0.1583576	0.19988088
PKN2-AS1	0.1969848	0.16496359	0.031304304	0.1880754
AC004470.2	0.037011452	0.16251688	0.112137996	0.1177249
AGBL4	0.09969505	0.12238923	0.05569962	0.16272981
TNC	0.06646325	0.19112767	0.043851335	0.20868687
LRRK2	0.2909683	0.3355456	0.17358992	0.21284138
PTPRT	0.044783805	0.09141112	0.068939276	0.11909484
PCSK2	0.09061718	0.07225021	0.0428265	0.07877872
EREG	0.13425724	0.16821294	0.038118873	0.1197023
DNAH12	0.1385576	0.16528416	0.10898874	0.1366358
AGBL1	0.16295177	0.16604143	0.09529221	0.071655676
NCKAP5	0.4940551	0.6123559	0.45148104	0.35252905
NELL1	0.024747737	0.09656942	0.056771062	0.16070352
CCDC141	0.09261835	0.15322411	0.023253758	0.08384233
SCGB3A1	0.18631184	0.5355938	0.61937594	0.3722421
MGC27382	0.05392086	0.15373856	0.02010305	0.065670654
SFTPC	0.22447802	0.14742644	0.17655401	0.21185209
RIMS1	0.33534873	0.18061472	0.15723938	0.15496643
TP63	0.019354962	0.08939369	0.057243098	0.121190436
ELN	0.12790386	0.20559832	0.16027024	0.28623047
RP1	0.14966267	0.19238476	0.08636152	0.20291567
TMEM163	0.096611254	0.22182035	0.058350887	0.121689305
ZNF385B	0.18166132	0.16685033	0.100574866	0.13950887
AC112770.1	0.021975946	0.09114252	0.039274752	0.122923486
KCNQ5	0.058031406	0.045204394	0.07908795	0.16742982
DLGAP1	0.064836316	0.20336437	0.06508609	0.05572689
SERPINE1	0.2699633	0.44639137	0.365595	0.56553715
CDH2	0.021299252	0.03281341	0.024155369	0.07870219
DNAH9	0.08287149	0.10836241	0.07645382	0.13631056
SCEL	0.15375252	0.22749713	0.06514991	0.1351332
LRRIQ1	0.10972307	0.23977908	0.185673	0.21799606
NEK10	0.10347697	0.11471994	0.12482324	0.1379364
PLD5	0.048707455	0.06993567	0.03840896	0.13755769
HPSE2	0.08737113	0.22044037	0.116094284	0.24222113
FRMD5	0.06490318	0.12729248	0.12735416	0.14189243
AC046195.1	0.059194144	0.07985804	0.0071831965	0.06720037
TMEM232	0.11669409	0.15917462	0.1270681	0.19388817
CCL21	0.019995006	0.09005982	0.035676684	0.08106884
IGHD	0.076404646	0.1584645	0.12600425	0.110786065
PRB4	0.0956579	0.17781337	0.30252165	0.060296055
ACOXL	0.13345288	0.14116569	0.042245023	0.07637225
DKK2	0.12646085	0.18172498	0.110297166	0.64965117
LRRTM4	0.033383485	0.13790351	0.02794698	0.050449412
SFTPB	0.19192418	0.17457652	0.34682637	0.23918287
KCNIP4	0.060699113	0.089333795	0.12296842	0.14577876
CEMIP	0.78442776	0.5653147	0.5143539	0.43651766
LINC02388	0.086623095	0.078926675	0.06794835	0.26306608
P3H2	0.098865375	0.09282579	0.051892933	0.075731814
NEAT1	0.2438083	0.16946551	0.41385433	0.25901008
PGC	0.07623315	0.20811406	0.121225126	0.1572519
SYT14	0.024032764	0.0017507458	0.019689407	0.017077893
ZPLD1	0.036856472	0.12861961	0.057539795	0.118713535
