gene	stage0	stage1	stage2	stage3
NTM	0.2967995	0.25014886	0.2024878	0.21050267
GPC5	0.071286984	0.19485621	0.103809536	0.15578482
CFAP299	0.107402064	0.21815477	0.20850319	0.16209668
SCGB1A1	0.31102142	0.52090067	0.33558357	0.50239503
BPIFB1	0.08020499	0.42593643	0.40084112	0.3121978
CPA6	0.017961185	0.046587903	0.12629567	0.11556749
NRG1	0.3979522	0.3814321	0.3957703	0.29967502
TMEM132D	0.047853135	0.20871775	0.2639474	0.17200854
MACROD2	0.7646439	0.6127259	0.60136485	0.60359585
PKN2-AS1	0.0857861	0.19767976	0.22524923	0.20896268
AC004470.2	0.18848647	0.13089705	0.3739794	0.22342193
AGBL4	0.16215198	0.17670059	0.19738841	0.15318963
TNC	0.78165257	0.5790065	0.55552363	0.7774602
LRRK2	0.21599668	0.19257434	0.11873045	0.19520944
PTPRT	0.12873933	0.10774758	0.14470966	0.18448749
PCSK2	0.0347358	0.13007562	0.115490444	0.08168361
EREG	0.15416126	0.35599807	0.066912234	0.17144907
DNAH12	0.1052226	0.23230124	0.21230143	0.23179963
AGBL1	0.19532181	0.16332698	0.20248261	0.11283452
NCKAP5	0.19941825	0.24839334	0.16083823	0.14154744
NELL1	0.10400399	0.13571449	0.16276422	0.195384
CCDC141	0.12434138	0.1672871	0.10171065	0.09493701
SCGB3A1	0.09727005	0.54142135	0.37098676	0.3488226
MGC27382	0.09372901	0.124427974	0.15506431	0.107199684
SFTPC	0.2601351	0.18430893	0.17632031	0.28290927
RIMS1	0.17632096	0.14764158	0.28494078	0.1830288
TP63	0.07048787	0.24053936	0.18642491	0.3820629
ELN	0.8167502	1.3707775	1.3530154	1.3657432
RP1	0.16663653	0.2210676	0.25898904	0.23666847
TMEM163	0.11582056	0.21711527	0.09930235	0.1310515
ZNF385B	0.14438486	0.2112202	0.16800702	0.14680235
AC112770.1	0.0043136473	0.10145214	0.04553173	0.08684128
KCNQ5	0.27130157	1.1680104	1.3115535	1.1732475
DLGAP1	0.15057294	0.1617366	0.21648939	0.16597345
SERPINE1	0.26388875	1.0003167	0.8361314	0.89741164
CDH2	0.51326776	0.47394657	0.15133518	0.7106399
DNAH9	0.1313924	0.13744602	0.17191967	0.24846086
SCEL	0.16256823	0.20411058	0.16366541	0.08315374
LRRIQ1	0.16884114	0.20604633	0.20345257	0.24227583
NEK10	0.117823035	0.11785541	0.1837702	0.12696591
PLD5	0.42082614	0.2647957	0.38804874	0.39530057
HPSE2	1.662069	1.7668638	1.5991337	1.7056587
FRMD5	0.2961293	0.45674536	0.34499773	0.36586958
AC046195.1	0.1663451	0.074839436	0.100363925	0.14260466
TMEM232	0.16761573	0.27508736	0.27393442	0.2260732
CCL21	0.016294947	0.24340941	0.09185368	0.15516299
IGHD	0.13045713	0.18624437	0.11929168	0.07031026
PRB4	0.00057049026	0.2077264	0.5108492	0.024311254
ACOXL	0.1383658	0.14242779	0.12751035	0.06708979
DKK2	0.088844515	0.17835234	0.12446237	0.09118142
LRRTM4	0.23585138	1.823574	1.9849528	1.6459188
SFTPB	0.1316459	0.15759112	0.13154817	0.17349508
KCNIP4	0.3934141	0.21789776	0.25061467	0.23352847
CEMIP	0.09410071	0.13061279	0.323061	0.09796357
LINC02388	0.642164	1.6360258	0.8577016	2.3987906
P3H2	0.15310833	0.14137419	0.17924234	0.14662178
NEAT1	0.3209351	0.10995377	0.18211274	0.26071137
PGC	0.10100951	0.16443594	0.044912104	0.10944556
SYT14	0.6691964	0.5944944	0.8546135	0.73282397
ZPLD1	0.6130256	0.24049293	0.4142014	0.50789744
CMAHP	0.18449907	0.28227904	0.35911742	0.2829371
LINC01811	0.17681605	0.052459836	0.2106779	0.041819982
ITGA2	0.18019477	0.32924145	0.40769076	0.57134926
COL8A1	0.2230301	0.42572305	0.3078123	0.22420695
TTN	0.19569974	0.2800739	0.25049847	0.14780912
SPAG16	0.19350511	0.20778586	0.3249256	0.16663338
CDHR3	0.13058853	0.19786787	0.19285095	0.19669908
CPM	0.3957721	0.35168374	0.2515329	0.26575994
PACRG	0.08575289	0.12372396	0.09541739	0.14727503
LYZ	0.12500793	0.3290895	0.6944394	0.29880643
ANK3	0.08552237	0.173563	0.10476293	0.13300069
ABCA3	0.16760415	0.11970695	0.11352797	0.06592234
ADAMTSL1	0.4819275	0.30044243	0.38894045	0.30305302
DCDC1	0.20105198	0.17505682	0.14157785	0.16317649
CDC20B	0.075888135	0.016969256	0.023049396	0.08781078
KIF26B	0.15139103	0.2019949	0.2429815	0.43362567
LINC02889	0.13575627	0.25059924	0.14467254	0.154471
GDF15	0.04337968	0.052300695	0.07505274	0.15867034
MEGF9	0.1902804	0.28460008	0.24932548	0.25577098
