gene	stage0	stage1	stage2	stage3
NTM	0.17262912	0.21926102	0.16677262	0.105041996
GPC5	0.102954134	0.21064231	0.1424234	0.19195005
CFAP299	0.09746139	0.16735756	0.34754992	0.14027324
SCGB1A1	0.15628919	0.5392624	0.4353732	0.4139146
BPIFB1	0.054351855	0.21751115	0.37444514	0.39176735
CPA6	0.061905064	0.076426506	0.15209368	0.15173848
NRG1	0.093396366	0.15846348	0.16142854	0.10308714
TMEM132D	0.058014635	0.053490423	0.09472743	0.0031219176
MACROD2	0.24938828	0.20526958	0.20336358	0.18104178
PKN2-AS1	0.22006905	0.15823993	0.12498116	0.17744273
AC004470.2	0.037265923	0.12207648	0.08230619	0.06642286
AGBL4	0.09756358	0.12127937	0.24908146	0.16033196
TNC	0.061903242	0.20710254	0.18282536	0.19231756
LRRK2	0.2764601	0.34309554	0.21858533	0.22570136
PTPRT	0.03429057	0.08227116	0.21870233	0.0868162
PCSK2	0.08800016	0.07815402	0.044392627	0.0912177
EREG	0.112355486	0.1341317	0.121974826	0.08582784
DNAH12	0.12330493	0.15653683	0.3209748	0.10871506
AGBL1	0.13617757	0.14126529	0.13476576	0.0613
NCKAP5	0.4913883	0.56939125	0.44006085	0.3757107
NELL1	0.0256711	0.09279828	0.053923875	0.06827704
CCDC141	0.086392134	0.1590129	0.12573962	0.04086917
SCGB3A1	0.18362859	0.5802481	0.45315522	0.35479867
MGC27382	0.041373897	0.12260152	0.06196195	0.035327308
SFTPC	0.21714668	0.24118721	0.15259922	0.21311878
RIMS1	0.34969458	0.20243834	0.4223708	0.15900423
TP63	0.02092728	0.08575125	0.10829481	0.031785563
ELN	0.12244239	0.24650963	0.22262949	0.358668
RP1	0.12981139	0.15221769	0.2782598	0.1895321
TMEM163	0.082836054	0.15785581	0.07473415	0.07398684
ZNF385B	0.17893255	0.1834449	0.1439445	0.13795955
AC112770.1	0.020792296	0.11958514	0.16333309	0.113278955
KCNQ5	0.063495494	0.09896095	0.18426386	0.1324013
DLGAP1	0.052764863	0.17149442	0.08256128	0.083330624
SERPINE1	0.28874993	0.49009693	0.4526192	0.61335814
CDH2	0.022475831	0.054259494	0.04161931	0.062894076
DNAH9	0.084121004	0.07529105	0.20275466	0.11308737
SCEL	0.18690018	0.24143311	0.16595323	0.08506854
LRRIQ1	0.10169874	0.18770355	0.3063851	0.24340183
NEK10	0.10448707	0.11656253	0.30514205	0.11940463
PLD5	0.035711672	0.060014024	0.052437972	0.17559789
HPSE2	0.08854738	0.23009136	0.19453141	0.18679124
FRMD5	0.059183568	0.08620395	0.15670419	0.10540379
AC046195.1	0.049857836	0.0857145	0.041412137	0.077688925
TMEM232	0.12668401	0.15757681	0.29026595	0.15746708
CCL21	0.019216098	0.12214535	0.076203585	0.052867483
IGHD	0.08899503	0.20391414	0.23573744	0.11680655
PRB4	0.09268592	0.09814605	1.0434232	0.060562022
ACOXL	0.14597449	0.110237524	0.08955678	0.039982643
DKK2	0.07375215	0.32346547	0.25600815	0.27283952
LRRTM4	0.03428248	0.12713963	0.06717799	0.08374991
SFTPB	0.19290298	0.20346762	0.25513542	0.2434108
KCNIP4	0.08619015	0.06269324	0.08823462	0.14026193
CEMIP	0.7630638	0.52224225	0.40083075	0.58196443
LINC02388	0.07517702	0.088147715	0.040089026	0.28099048
P3H2	0.10652714	0.14787427	0.115315706	0.05688875
NEAT1	0.23953122	0.1966601	0.2720427	0.30185187
PGC	0.07210614	0.1949409	0.12768382	0.24036577
SYT14	0.024030551	0.024380386	0.038551766	0.020191334
ZPLD1	0.038496323	0.07886694	0.05795491	0.08112966
CMAHP	0.093164355	0.18358764	0.19223559	0.1911195
LINC01811	0.08334994	0.043995526	0.07275999	0.031228496
ITGA2	0.1357128	0.21725863	0.3098479	0.3386686
COL8A1	0.11199871	0.26768625	0.1594701	0.21196571
TTN	0.21995714	0.28327125	0.1712058	0.1356947
SPAG16	0.11236625	0.15090829	0.2530826	0.1659503
CDHR3	0.06234469	0.14017515	0.23489377	0.052844964
CPM	0.21444173	0.21699469	0.19780591	0.14055143
PACRG	0.094749905	0.16214454	0.18782064	0.1291687
LYZ	0.08734495	0.22903773	0.6661223	0.16261204
ANK3	0.18842885	0.18081284	0.13728547	0.16372305
ABCA3	0.1337098	0.11365238	0.09368162	0.054553658
ADAMTSL1	0.052473944	0.09113413	0.17904082	0.15204786
DCDC1	0.10381258	0.10459018	0.3506565	0.1722487
CDC20B	0.05274721	0.052156724	0.19448395	0.08966784
KIF26B	0.075537235	0.14369094	0.10470338	0.26755366
LINC02889	0.08731026	0.17482781	0.1323104	0.11141872
GDF15	0.16725446	0.14176358	0.10851069	0.11415264
MEGF9	0.17818287	0.18347186	0.1895254	0.15760599
ACTG2	0.034260314	0.09273841	0.1170927	0.09156511
KHDRBS2	0.43337542	0.39919758	0.30544418	0.24024118
PRB3	0.005320214	0.025833782	1.1208847	0.016923642
SFTPA1	0.25597066	0.3295992	0.25244284	0.14358452
MIR924HG	0.030252704	0.09892007	0.024422219	0.15030633
AC007368.1	0.035713606	0.026917523	0.24820822	0.09860257
PDE4D	0.20314972	0.10141413	0.12832046	0.2307137
LINC01705	0.01562506	0.043460835	0.032954514	0.050140437
CFAP54	0.12520833	0.15292859	0.22516873	0.14363402
TIMP3	0.9347503	0.9805994	1.0103698	0.9346428
DNAH3	0.054167874	0.052027076	0.16102463	0.08179651
SNX25	0.16686033	0.18684721	0.16343778	0.1286341
ROBO2	0.11501684	0.2966824	0.21437365	0.21013674
SLC6A14	0.05697531	0.23157509	0.12460344	0.08881751
VSIG1	0.06251712	0.021659562	0.08988632	0.060548715
ALOX15B	0.05040146	0.07125169	0.099429525	0.07369934
KAZN	0.1744007	0.19389667	0.19917482	0.11941023
STAP1	0.029176336	0.073655695	0.050918207	0.060601607
KCND2	0.049646985	0.086012274	0.12483262	0.13418204
LINC00578	0.05382204	0.12817034	0.08356234	0.08387768
CR2	0.024961503	0.001105329	0.013855777	0.045020208
AC027288.3	0.15226123	0.088566355	0.07910207	0.052761927
ITGB8	0.07683179	0.18694142	0.20245077	0.11194809
SGPP2	0.03409241	0.18710794	0.10159633	0.04483184
STK33	0.12370102	0.14419547	0.2425596	0.13390014
AC009133.1	0.035100948	0.070667945	0.093752265	0.07538251
CASC15	0.10762644	0.26527393	0.22666699	0.19960399
LAMC2	0.05825361	0.14075166	0.09437812	0.05557551
CADM1	0.20742358	0.2069729	0.14977956	0.11628721
HHIP	0.10298383	0.0829263	0.0658574	0.10815322
EYA4	0.056016218	0.12860508	0.1758249	0.075667694
LMNTD1	0.049578667	0.08403084	0.21708934	0.10794905
SLC30A8	0.04191956	0.03937194	0.13333008	0.060515177
FAM155A	0.078737654	0.20053326	0.21370173	0.24584742
VEPH1	0.123838626	0.10851858	0.056546256	0.032865647
CP	0.029370293	0.08466371	0.31921118	0.089165166
NOL4	0.063987456	0.015808413	0.006712179	0.020889135
LINC01937	0.064145595	0.0925411	0.061394054	0.0855796
MUC5B	0.12052994	0.105685666	0.4850628	0.3869094
CHST9	0.06043034	0.11845806	0.3123241	0.16295595
RTKN2	0.3066077	0.15005857	0.12487283	0.08677461
TRIM5	0.32404372	0.43525463	0.8141099	0.40023616
ERICH3	0.06109451	0.096620165	0.17431994	0.0718362
CFAP46	0.033837043	0.059995554	0.21284197	0.0072902977
GPRC5D-AS1	0.083925255	0.12381485	0.10748102	0.07435232
MUC5AC	0.08719346	0.0938075	0.59063256	0.25477126
DMBT1	0.037979264	0.09958607	0.3140754	0.0687135
LINC01170	0.051079135	0.042139675	0.23902714	0.06639325
RELN	0.017806293	0.11470517	0.094811656	0.08588346
LANCL1-AS1	0.05674361	0.08981511	0.046481192	0.114353344
DNAH11	0.09779452	0.13005447	0.23794855	0.11089539
ATP11A	0.24162744	0.2865196	0.21911526	0.20484506
ZNF385D	0.049116984	0.2868997	0.3668688	0.2803884
MACC1	0.08882914	0.17871854	0.21081664	0.1102831
AL445584.2	0.059303522	0.08418757	0.043998316	0.06481245
TMEM164	0.18467586	0.1750391	0.17744575	0.10058196
AC083837.1	0.08122392	0.18349716	0.15372413	0.094381146
HYDIN	0.057819117	0.084821634	0.16220595	0.07785874
SFTPA2	0.22039387	0.30430222	0.18746483	0.13175398
SLC5A8	0.026009481	0.20354877	0.11453983	0.037278812
BPIFA1	0.069606066	0.06291729	0.12917073	0.3281338
CACNA1A	0.12581998	0.051228434	0.15659253	0.13151926
MYO16	0.036761187	0.05372882	0.09862673	0.13142951
CFAP47	0.081129976	0.13594009	0.2785731	0.14507672
CUX2	0.05956363	0.042531118	0.0028093818	0.045944996
AHR	0.36584744	0.22066495	0.14645895	0.17295215
PDZRN4	0.11924745	0.19165376	0.19520718	0.14380932
RAB27B	0.09630551	0.16571294	0.07565542	0.12930933
ANKFN1	0.08086456	0.0750528	0.21079315	0.1058793
ADARB2	0.056759983	0.026031895	0.08261129	0.053719837
GRM7	0.05117677	0.06458887	0.0870309	0.056651853
COL25A1	0.091623366	0.08549951	0.114185974	0.21074277
AL357507.1	0.11817986	0.10642782	0.17148937	0.1395052
TTC29	0.06113899	0.06468926	0.16866273	0.07745959
CXCL10	0.15548077	0.14554672	0.22039565	0.1620253
