gene	stage0	stage1	stage2	stage3
NTM	0.11170921	0.18158287	0.13323766	0.1029596
GPC5	0.14238258	0.19067587	0.06617792	0.16586064
CFAP299	0.1619529	0.22729886	0.11255774	0.2140382
SCGB1A1	0.21119772	0.49357483	0.31358218	0.38927984
BPIFB1	0.20251283	0.29870927	0.4206183	0.49236488
CPA6	0.048396315	0.16856533	0.1167222	0.20643814
NRG1	0.21302144	0.16154914	0.27434692	0.21362285
TMEM132D	0.062282693	0.14775051	0.17088541	0.20446637
MACROD2	0.22532035	0.28996894	0.23383115	0.21670572
PKN2-AS1	0.23060969	0.23267388	0.25016823	0.19873115
AC004470.2	0.08312707	0.2635817	0.06751347	0.148763
AGBL4	0.17302126	0.22357368	0.16283143	0.22320709
TNC	0.12810548	0.21685314	0.2853068	0.2736407
LRRK2	0.19652918	0.29803228	0.17195107	0.23810777
PTPRT	0.14123271	0.145426	0.10759884	0.15040788
PCSK2	0.12891823	0.11386342	0.08525907	0.10385217
EREG	0.052259285	0.12091991	0.096929014	0.06439602
DNAH12	0.14323199	0.21038184	0.1828143	0.22106183
AGBL1	0.22775695	0.115341626	0.2109463	0.09090801
NCKAP5	0.23874815	0.23659395	0.16162199	0.17438912
NELL1	0.053234987	0.10220729	0.0045447852	0.1328871
CCDC141	0.19859974	0.13471144	0.13263363	0.082621396
SCGB3A1	0.16930309	0.4625227	0.19019306	0.31100088
MGC27382	0.16981353	0.12912907	0.115247294	0.095811516
SFTPC	0.20642313	0.20033437	0.17203297	0.18784936
RIMS1	0.34968388	0.19706495	0.16258405	0.21615602
TP63	0.07708102	0.13928005	0.31104302	0.22919504
ELN	0.22355884	0.30320567	0.20343715	0.2968566
RP1	0.19057807	0.25337192	0.12667	0.24415076
TMEM163	0.16703478	0.25249222	0.08549216	0.120759234
ZNF385B	0.16097017	0.1782516	0.114001	0.13318737
AC112770.1	0.12864274	0.15606554	0.14696722	0.13706617
KCNQ5	0.124044254	0.18517019	0.0975803	0.32014233
DLGAP1	0.13707675	0.1663475	0.18943174	0.10816184
SERPINE1	0.21495381	0.4572404	0.23826313	0.41594222
CDH2	0.026937358	0.030519279	0.062496394	0.22282204
DNAH9	0.13516134	0.20123543	0.11627219	0.20405889
SCEL	0.2561429	0.23327853	0.13542314	0.13047801
LRRIQ1	0.1382954	0.18303333	0.2011614	0.23310232
NEK10	0.15329401	0.19162907	0.19743216	0.21937805
PLD5	0.071745366	0.09034008	0.1683655	0.15110625
HPSE2	0.062099	0.17200288	0.20877813	0.28894925
FRMD5	0.09770564	0.2086795	0.0801744	0.19438283
AC046195.1	0.15817569	0.056288924	0.13781244	0.060070515
TMEM232	0.17983599	0.13700645	0.24003994	0.22368872
CCL21	0.061367955	0.15761478	0.06273043	0.10650216
IGHD	0.13847245	0.13731539	0.25612843	0.16334742
