gene	stage0	stage1	stage2	stage3
NTM	0.21363376	0.27754378	0.1875865	0.22695418
GPC5	0.09044726	0.17259794	0.12248273	0.24102454
CFAP299	0.1290521	0.24049382	0.2139364	0.09901969
SCGB1A1	0.17982876	0.35744107	0.3283352	0.5029373
BPIFB1	0.16187131	0.23600793	0.36461896	0.100179814
CPA6	0.029384132	0.058780637	0.011038875	0.020666916
NRG1	0.16967823	0.32133424	0.19214827	0.09639456
TMEM132D	0.11405466	0.16635011	0.27928197	0.11045972
MACROD2	0.33707944	0.5348477	0.5266362	0.44920987
PKN2-AS1	0.15685089	0.34678742	0.277004	0.3008049
AC004470.2	0.31931365	0.117996626	0.2704048	0.0926442
AGBL4	0.091802135	0.16009773	0.1950366	0.018608252
TNC	0.20516257	0.47239387	0.3131955	0.75220406
LRRK2	0.19997925	0.1526333	0.11147947	0.19307299
PTPRT	0.014020977	0.15162969	0.12606673	0.05895268
PCSK2	0.17386127	0.0713154	0.1059254	0.061809503
EREG	0.04682591	0.36778086	0.13425475	0.26728642
DNAH12	0.14498644	0.22443685	0.15311928	0.044798873
AGBL1	0.10875181	0.22604027	0.1935744	0.030431664
NCKAP5	0.13898037	0.21341683	0.14873603	0.11287095
NELL1	0.060286216	0.14174967	0.1610664	0.015861612
CCDC141	0.110513546	0.1608034	0.114776716	0.11625753
SCGB3A1	0.37125564	0.5326003	0.4952235	0.35375017
MGC27382	0.10157889	0.14928073	0.09395973	0.057706874
SFTPC	0.2797987	0.18103994	0.14507234	0.23767284
RIMS1	0.10268351	0.06594151	0.29097673	0.059616424
TP63	0.080950774	0.21921821	0.20535676	0.23655322
ELN	1.365441	2.0493474	1.8258802	2.2206464
RP1	0.17901501	0.14296027	0.24593802	0.09593232
TMEM163	0.08373268	0.16954504	0.13451512	0.103435814
ZNF385B	0.33530352	0.1534632	0.13631114	0.07844224
AC112770.1	0.061134994	0.0069630295	0.10463229	0.018912336
KCNQ5	0.2861786	2.261821	2.266061	2.0916226
DLGAP1	0.075688414	0.19275841	0.18303654	0.09758852
