gene	stage0	stage1	stage2	stage3
NTM	0.16980124	0.2609169	0.1622344	0.18848869
GPC5	0.27373058	0.25055078	0.39499983	0.3428874
CFAP299	0.08493001	0.16001774	0.04810742	0.2003814
SCGB1A1	0.11140317	0.5552372	0.23705305	0.66339475
BPIFB1	0.12318242	0.41368306	0.39979023	0.5252683
CPA6	0.29793593	0.34434897	0.20770639	0.30825186
NRG1	0.14128143	0.23132868	0.071180984	0.1576574
TMEM132D	0.07004863	0.2108442	0.018523188	0.27273524
MACROD2	0.25602004	0.31542262	0.16115855	0.1946432
PKN2-AS1	0.056157693	0.24146807	0.12888661	0.093507454
AC004470.2	0.0883231	0.41698748	0.0056968583	0.28351417
AGBL4	0.115949765	0.1768029	0.14215156	0.29077685
TNC	0.10017638	0.18785584	0.02109273	0.14343089
LRRK2	0.2766877	0.34191045	0.16366863	0.2476137
PTPRT	0.0914393	0.18036386	0.3858087	0.21477923
PCSK2	0.049445603	0.052383807	0.044560485	0.069980115
EREG	0.055330936	0.31660008	0.008440078	0.19948535
DNAH12	0.10489476	0.18705942	0.21675593	0.30465934
AGBL1	0.10182721	0.13479161	0.20189041	0.06754988
NCKAP5	0.17117113	0.18994807	0.08374193	0.08535976
NELL1	0.0014798266	0.23615026	0.011031906	0.04335013
CCDC141	0.15194461	0.16117527	0.08171409	0.11698939
SCGB3A1	0.10611072	0.61631787	0.3509814	0.47024816
MGC27382	0.07793598	0.15589908	0.05461458	0.13774991
SFTPC	0.23971486	0.17473058	0.14686094	0.29855078
RIMS1	0.08842326	0.06933102	0.16128904	0.32668343
TP63	0.3037066	0.50930613	0.18141711	0.24483979
ELN	0.1011322	0.2680989	0.19058052	0.32301626
RP1	0.13185251	0.22668403	0.115519926	0.25957775
TMEM163	0.1013658	0.09985686	0.06867316	0.12234486
ZNF385B	0.32174662	0.34311247	0.15942441	0.20483185
AC112770.1	0.057379533	0.09118398	0.02615664	0.07526482
KCNQ5	0.17325895	0.15037374	0.045808993	0.23082352
DLGAP1	0.07544071	0.21014334	0.093351886	0.11209173
SERPINE1	0.09478129	0.26812586	0.29473248	0.23213628
CDH2	0.057716724	0.03231678	0.040264692	0.26129943
DNAH9	0.09970664	0.24394251	0.065383226	0.23013619
SCEL	0.2449638	0.15936969	0.024119982	0.09808975
LRRIQ1	0.13415344	0.19791096	0.13243566	0.24029192
NEK10	0.06301777	0.17791529	0.14454886	0.24620932
PLD5	0.10047255	0.07418505	0.20966285	0.16127247
HPSE2	0.055221424	0.3524338	0.10002999	0.49483606
FRMD5	0.044096366	0.3031117	0.07941413	0.19300207
AC046195.1	0.08227025	0.31187254	0.06239464	0.045288153
TMEM232	0.11637266	0.22688366	0.11179361	0.24829839
CCL21	2.4430764	2.1767066	2.519287	2.2501922
IGHD	0.55383897	0.63415563	0.61748594	0.5497465
PRB4	0.053820778	0.24834254	0.36287478	0.084922105
ACOXL	0.16853829	0.1787517	0.08994211	0.07422196
DKK2	0.11475244	0.1308594	0.10241666	0.09719095
LRRTM4	0.04938922	0.06693779	0.09441214	0.10750533
SFTPB	0.20639992	0.1438257	0.13001515	0.180303
KCNIP4	0.12754561	0.19981466	0.31157994	0.15115331
CEMIP	0.109417185	0.16932002	0.08477271	0.13765228
LINC02388	0.30186987	0.16163008	0.6342409	0.424877
P3H2	0.21439219	0.3524903	0.13311851	0.1919941
NEAT1	0.5220424	0.35180256	0.52697176	0.38338205
PGC	0.0	0.16120368	0.16242181	0.13563876
SYT14	0.008311009	0.14050868	0.0017609985	0.076130584
ZPLD1	0.2983064	0.22582169	0.34702748	0.3771373
CMAHP	0.18126573	0.16199031	0.09269843	0.19405437
LINC01811	0.06522675	0.117467865	0.0012908019	0.03475631
ITGA2	0.22745323	0.4699888	0.2704271	0.40522665
COL8A1	0.15409806	0.20649335	0.06451809	0.20041494
